"Season","Adjusted.Temo","Adjusted.Offensive.Efficiency","Adjusted.Defensive.Efficiency","Avg.Possession.Length..Offense.","Avg.Possession.Length..Defense.","eFGPct","TOPct","ORPct","FTRate","OffFT","Off2PtFG","Off3PtFG","DefFT","Def2PtFG","Def3PtFG","Tempo","AdjTempo","OE","AdjOE","DE","AdjDE","AdjEM","Pre.Tournament.Tempo","Pre.Tournament.AdjTempo","Pre.Tournament.OE","Pre.Tournament.AdjOE","Pre.Tournament.DE","Pre.Tournament.AdjDE","Pre.Tournament.AdjEM","FG2Pct","FG3Pct","FTPct","BlockPct","OppFG2Pct","OppFG3Pct","OppFTPct","OppBlockPct","FG3Rate","OppFG3Rate","ARate","OppARate","StlRate","OppStlRate","AvgHeight","CenterHeight","PFHeight","SFHeight","SGHeight","PGHeight","EffectiveHeight","Experience","Bench","CenterPts","PFPts","SFPts","SGPts","PGPts","CenterOR","PFOR","SFOR","SGOR","PGOR","CenterDR","PFDR","SFDR","SGDR","PGDR","Net.Rating","Seed","Post.Season.Tournament.Sorting.Index","Final.Four."
2015,58.7,129,95.2,21.8,18.3,54.7518,12.3664,32.1309,36.1702,20.1379,50.069,29.7931,14.3103,59.6476,26.0421,59.4998,58.675,121.133,128.952,97.5034,95.2324,33.7197,59.2656,58.0767,120.495,126.815,94.4646,93.2904,33.5251,54.7925,36.4557,76.3399,8.1725,44.6589,37.5465,71.0021,6.3396,37.3522,25.717,49.7041,39.9554,0.0727,0.0681,79.17,2.62,2.42,3.08,1.3,3.12,5.05,2.08,21.24,28.32,23.11,19.56,13.76,15.25,21.39,28.34,29.46,9.31,11.5,33.03,20.78,22.11,11.68,12.4,33.8,"1",1,"Yes"
2011,63.8,125,91.5,17.1,20.1,56.3137,15.7759,35.6536,37.0568,18.7456,51.2964,29.958,13.587,54.8913,31.5217,64.1577,63.7715,119.914,125.017,93.6825,91.5483,33.4687,64.4348,64.4098,119.336,123.643,93.5864,91.4115,32.232,52.852,42.2849,70.118,9.1261,46.8677,33.9678,73.7101,8.5921,32.7343,34.5648,57.7188,50.5967,0.1103,0.0629,77.66,0.2,-0.17,1.27,3.12,2.78,0.03,1.6,18.2,25.21,19.36,21.09,21.21,13.13,41.65,18.74,15.64,14.62,9.35,35.97,17.52,15.71,16.02,14.77,33.5,"1",1,"No"
2013,65.8,117.7,84.8,16.4,19.4,50.5432,18.3039,38.2289,39.9826,21.8939,54.9362,23.1699,20.4168,51.3824,28.2008,66.5244,65.8158,110.494,117.68,86.9752,84.7632,32.9166,66.668,65.2907,108.622,114.313,85.2644,83.1717,31.1411,50.8075,33.2851,70.8696,12.0603,43.3597,31.7529,65.7534,8.1366,30.0304,33.3174,55.7252,49.697,0.1593,0.083,76.69,1.08,-0.14,0.95,-1.32,0.34,0.94,1.69,31.31,14.76,19.39,20.05,20.73,25.06,39.58,27.46,17.94,7.82,7.2,30.76,21.08,21.47,13.96,12.73,32.9,"1",1,"Yes"
2019,70.2,124.5,91.6,14.7,19,58.9772219740956,14.9182383983719,31.5338474721508,35.328271549799,18.5630588960839,54.8874498920752,26.5494912118409,16.9583333333333,53.1666666666667,29.875,71.3801,70.1959,122.561,124.454,90.7724,91.5991,32.8547,71.5883,69.7687,123.829,125.125,90.7597,92.336,32.7887,61.4216701173223,36.3291139240506,76.1061946902655,13.8189244383935,43.430905377808,30.3684879288437,69.6917808219178,5.79710144927536,35.283608753908,34.8847517730496,56.1597281223449,41.3911060433295,0.105260666871761,0.0761057339612372,78.21,0.12,1.14,1.53,1.71,2.47,0.63,1.91,23.41,24.7,27.98,12.37,19.83,15.07,39.36,26.2,17.66,10.56,6.14,27.33,25.09,20.49,15.96,11.08,32.9,"1",1,"No"
2012,65.4,122.2,89.6,17.8,18.2,53.7589,16.9823,37.4614,41.726,21.9063,56.2843,21.8094,17.5815,55.3033,27.1151,67.04,65.3785,115.908,122.182,90.7504,89.5938,32.5881,66.7066,64.0843,115.593,120.566,89.0214,88.8382,31.7277,52.6921,37.8151,72.2814,20.2367,39.645,31.7852,69.3811,8.046,26.468,28.9617,48.4489,47.2441,0.0909,0.0819,78.82,1.37,2.45,3.07,2.13,2.52,3.82,0.77,21.58,20.64,21.55,19.51,21.36,16.93,34.04,27.16,19.79,14.33,4.68,34.69,21.46,16.61,16.72,10.52,32.6,"1",1,"Yes"
2015,65.8,124.5,92,18.1,18.1,56.618,16.2675,35.7717,39.8448,19.7347,52.7984,27.4668,15.1479,60.9912,23.8609,65.933,65.765,119.653,124.454,96.6318,91.9701,32.4841,66.5735,65.6368,120.499,124.253,97.7779,94.9453,29.3074,55.9287,38.6612,69.874,9.0413,46.2985,31.4376,69.1606,8.2934,33.4094,27.751,53.5032,46.9854,0.1074,0.0835,77.55,2.17,0.85,0.59,-0.13,0.95,3.02,1.06,25.45,24.53,17.99,17.39,21.77,18.31,44.73,30.03,13.39,6.44,5.41,26.36,28.28,17.03,13.69,14.65,32.5,"1",1,"Yes"
2015,65.8,119.9,87.5,16.7,19.1,53.4574,16.5174,34.5088,47.0987,24.0467,56.0632,19.8901,22.3986,50.3527,27.2487,66.5593,65.7987,114.438,119.906,89.4799,87.5473,32.3584,66.8428,65.5943,113.625,118.227,87.414,85.9123,32.3143,53.2637,36.0075,71.8686,9.8054,42.7395,33.4959,69.7802,6.3316,25.9188,31.5223,52.329,47.619,0.1084,0.071,77.87,2.5,0.87,1.67,1.26,-0.29,3.37,1.48,29.41,19.46,22.08,23.35,17.93,17.19,26.97,28.07,28.83,7.74,8.38,23.16,22.19,25.62,11.82,17.2,32.4,"2",1,"No"
2017,70.1,118.4,86.3,15.9,18.1,56.6418237615081,16.2242422047586,30,39.0179745725559,19.8013656114215,53.5692116697703,26.6294227188082,17.7231025854879,54.3786488740617,27.8982485404504,70.8026,70.0977,116.658,118.353,86.8245,86.3037,32.0495,70.8928,70.022,119.293,120.711,86.2747,87.6571,33.0538,56.331592689295,38.1842456608812,71.685393258427,11.2338858195212,40.024554941682,28.961038961039,65.7894736842105,7.83289817232376,32.8364752301622,32.0967069612338,51.7841601392515,43.2,0.0959692898272553,0.075688987071307,78.51,3.65,2.71,-0.69,0.57,2.46,3.18,1.83,31.94,26.22,19.64,15.77,15.3,23.03,37.76,36.36,10.58,7.12,8.11,29.03,27.18,11.99,10.96,20.78,32.1,"1",1,"Yes"
2016,66,122.8,90.8,18.4,17.1,56.0525,16.3235,28.23813,34.0899,19.211,47.4022,33.3868,17.5383,48.84,33.6217,67.177,66.0317,116.158,122.761,94.4947,90.7523,32.0092,67.6994,66.5578,113.604,118.299,93.853,91.552,26.7471,57.3758,36.1835,78.1984,9.666,44.1365,33.9286,66.1721,6.7547,42.6791,37.3832,58.6556,56.2914,0.1046,0.0861,77.34,0.6,-0.35,0.39,0.23,1.95,0.25,1.71,31.49,17.04,20.48,24.45,18.54,19.49,39.92,15.6,26.81,8.93,8.75,34.4,18.9,23.32,13.22,10.16,32,"2",1,"Yes"
2013,61.9,117.2,86,18.1,19.8,55.2514,17.7846,34.1717,31.0602,15.9727,49.9621,34.0651,18.34,52.8827,28.7773,62.9152,61.88,113.705,117.221,86.3258,86.0408,31.18,62.6458,60.6898,114.451,118.162,85.6828,86.1792,31.9831,54.2763,37.831,67.6282,9.4192,41.7582,30.9791,65.0794,7.8947,39.4724,32.8413,56.25,50.8966,0.1138,0.0932,77.12,0.9,0.43,-0.67,0.01,2.34,1.33,2.27,25.33,23.9,17.75,19.86,20.19,18.3,30.68,38.87,14.68,8.58,7.19,25.74,28.31,20.28,12.37,13.3,31.2,"3",1,"No"
2024,63.5,118.9,87.7,18.9,18.3,50.3358710255262,13.7787775510311,36.8148148148148,30.7657859381997,17.3529411764706,51.1029411764706,31.5441176470588,23.2176360225141,45.1219512195122,31.6604127579737,64.0595,63.4888,113.5,118.896,88.9587,87.7232,31.173,64.1588,63.267,113.057,118.869,88.2881,87.1503,31.7189,49.2209631728045,34.8355663824604,68.7045123726346,15.9641255605381,43.1390134529148,30.1204819277108,67.4386920980926,7.22379603399433,36.7666815942678,40.1181525241676,49.3374108053007,59.7733711048159,0.151149014347674,0.0776622007421751,75.86,-1.88,-1.04,-1.76,-1.82,0.11,-1.46,2.27251,29.75,15.31,18.95,20.88,19.53,25.33,36.4,26.62,15.77,13.94,7.26,25.68,23.13,19.26,21.11,10.82,31.2,"1",1,"No"
2022,72.5,120.7,89.7,14.6,17.8,58.6826347305389,15.6294672638902,29.1234684260132,30.6387225548902,15.6989247311828,56.1290322580645,28.1720430107527,15.5733836715432,54.5540349221331,29.8725814063237,73.7789,72.489,118.061,120.672,89.7889,89.7223,30.95,73.7703,72.4831,118.885,121.805,88.5732,88.836,32.9688,60.4166666666667,37.0056497175141,71.3355048859935,13.4393063583815,41.7630057803468,30.5354558610709,69.9152542372881,7.09876543209877,35.3293413173653,33.3012048192771,55.311004784689,41.318124207858,0.086830373688279,0.0821711829050054,78.74,2.25,2.02,1.33,1.5,1.83,2.14,1.57,25.72,25.48,23.44,17.9,16.97,16.21,32.81,34.66,22.42,6.38,3.72,35.53,23.43,18.07,12,10.97,31,"1",1,"No"
2025,63.7,120.7,89.7,18.4,18.7,52.5491113189897,16.0834557147921,35.5573637103336,35.5472404115996,20.1208674013509,46.4984002843939,33.3807323142552,18.8151856487276,46.6416353775553,34.5431789737171,64.9572,63.745,113.853,120.676,97.2334,89.7473,30.9286,65.4662,63.6184,114.078,120.275,96.3317,89.122,31.1527,54.0049545829893,33.764832793959,74.4736842105263,15.0959132610509,46.6221851542952,28.6604361370717,73.9344262295082,9.16597853014038,43.3582787652011,44.5420906567993,60.5997931747673,46.9461077844311,0.106547830050134,0.0907479617157037,77.13,1.27,1.18,-0.39,0.68,-3.1,1.22,2.9361,24.85,16.5,19.26,28.3,16.04,19.9,35.69,32.98,7.64,15.85,7.84,28.39,24.07,17.82,16.88,12.84,31,"2",1,"No"
2019,66.9,121,90.2,17.2,18.4,55.1793721973094,18.5010578064238,33.8969404186795,33.5874439461883,18.6446280991736,49.7190082644628,31.6363636363636,17.5217048145225,49.3291239147593,33.1491712707182,67.9002,66.9479,113.317,120.981,95.0142,90.1733,30.8072,68.4006,67.4035,114.269,121.729,95.0157,90.3679,31.3607,54.2568542568543,37.7962085308057,75.3004005340454,13.7307434695244,41.8620227729404,31.638418079096,67.8899082568807,8.44155844155844,37.847533632287,37.2161480235492,66.7600373482726,51.9337016574586,0.0754302762493139,0.0911918265103646,77.55,-0.55,0.37,1.32,2.11,0.39,-0.09,1.79,29.62,25.53,15.15,13.71,18.8,26.78,38.14,29.97,18.25,9.64,3.95,28.66,29.11,18.88,12.11,11.2,30.8,"2",1,"Yes"
2019,72.1,120,89.3,15.5,17.5,53.5980148883375,17.5147376827069,35.6017191977077,33.2092638544251,17.5310213172129,55.9338211899459,26.5351574928412,15.6444099378882,54.8913043478261,29.4642857142857,73.0558,72.0893,113.071,119.961,92.9583,89.3418,30.619,73.6764,72.2115,113.184,120.084,91.745,88.0911,31.9925,58.019801980198,30.7862679955703,68.6176836861768,16.3590070019096,45.0031826861871,29.9763033175355,69.6027633851468,7.98679867986799,37.3449131513648,34.9482401656315,52.3768366464996,49.8958333333333,0.124182361438864,0.0872147798544626,78.66,1.17,0.77,2.2,3.58,1.47,0.97,0.65,28.12,13.66,16.75,33.07,24.75,11.76,32.17,13.11,32.66,13.36,8.68,20.84,19.49,26.08,21.52,12.05,30.7,"1",1,"No"
